,N° Course,310,320,340,350,330,360
,Jours de circulation,Me,Me,LMaJV,LMaMeJV,LMaJ,LMaJV
Ville,Arrêt,,,,,,
ORCHIES,Gare SNCF (N.D Providence),,,,17h05,17h10,17h45
ORCHIES,Collège du Pévèle,12h30,12h30,17h05,17h15,,
ORCHIES,Gare SNCF (N.D Providence),12h40,12h40,17h15,,,
ORCHIES,Stade,12h45,,,,,
ORCHIES,Gendarmerie,12h46,,,,,
ORCHIES,La Sècherie,,12h47,17h18,,17h13,17h48
LANDAS,Les Hauts Bois,,12h50,17h21,,17h16,17h51
LANDAS,Place Verte,,12h52,17h23,,17h18,17h53
LANDAS,Gare,,12h54,17h25,,17h20,17h55
BEUVRY LA FORET,Rue de Saulzoir,,12h55,17h26,,17h21,17h56
BEUVRY LA FORET,Jean Cerisier,,12h57,,,,
BEUVRY LA FORET,Cimetière,12h48,,,17h22,,
BEUVRY LA FORET,Jean Cerisier,12h50,,,17h24,,
BEUVRY LA FORET,Cimetière,,12h58,,,,17h58
BEUVRY LA FORET,Varlet,,13h01,17h31,,,18h01
BEUVRY LA FORET,Gare,,13h03,17h33,,,18h03
BEUVRY LA FORET,Paradis,,13h05,17h35,,,18h05
BEUVRY LA FORET,Pavé du Roi,12h52,,,17h26,,
LANDAS,Delommez,12h56,,,17h30,,
SAMEON,Rue des Mazures,12h58,,,17h32,,
SAMEON,Rue Bias,13h00,,,17h34,,
SAMEON,Mairie,13h01,,,17h35,,
SAMEON,Rue de Lélie,13h03,,,17h37,,
SAMEON,Chapelle,13h05,,,17h39,,
BEUVRY LA FORET,Les Trois Bouteilles,,,17h37,,,
MARCHIENNES,Sec Marais,,,17h38,,,
MARCHIENNES,Cosseterie,,,17h39,,,
MARCHIENNES,Rue des Jardins,,,17h40,,,
MARCHIENNES,Decours,,,17h42,,,
MARCHIENNES,Place De Gaulle,,,17h43,,,